"cc_num","customer","lifetime_total_spend"
"30153452207526","Robin Smith","78715.20"
"30175986190993","Rebecca Butler","110636.88"
"30181367542315","Danielle Walker","23246.30"
"30197398657930","April Johnson","136732.38"
"30199621383748","Theresa Powell","183305.08"
"30230540139182","Hayden Sanders","119844.34"
"30234966027947","Matthew Lambert","126993.96"
"30235268718158","Kenneth Doyle","91190.92"
"30235438713303","James Baldwin","123602.16"
"30238755902988","Danielle Yu","130794.74"
"30242921189660","Dalton Jones","55673.16"
"30248898834493","Michael Rodriguez","50688.10"
"30263540414123","Erik Patterson","79363.42"
"30266994494236","Sarah Foster","89510.52"
"30270432095985","Lisa Lin","158197.26"
"30273037698427","Andrew Patterson","207672.44"
"30290551782700","John Clarke","81344.90"
"30328384440870","Helen Campbell","79956.96"
"30343344410970","Jacob Dawson","83831.70"
"30344654314976","Christine Johnson","50539.62"
"30357372465631","John Nichols","25750.90"
"30360260465747","Jennifer Garcia","23179.06"
"30364087349027","Samuel Sandoval","79387.10"
"30371006069917","Robert James","55774.30"
"30373802285317","Nicholas Osborne","26986.86"
"30376238035123","Cynthia Davis","56507.74"
"30404291151692","Savannah Lewis","68310.80"
"30407675418785","Danielle Evans","95972.32"
"30408301059761","Brandon Pittman","18282.88"
"30427035050508","John Chandler","53307.64"
"30428204673351","Greg Villarreal","164831.62"
"30434173205605","Kylie Kirby","23079.10"
"30442439074871","Linda Sanchez","117636.12"
"30446018552504","Felicia Thomas","19022.00"
"30487648872433","Stephanie Crane","50832.22"
"30491348102802","Tommy Dixon","37909.98"
"30501624614310","Amanda Smith","92416.60"
"30510856607165","Frederick Robinson","24629.60"
"30518196150127","Karen Sullivan","28034.52"
"30518206766474","Tamara Martinez","67042.50"
"30541100351706","Derrick George","29735.38"
"30546453310167","Nicholas Tran","65232.44"
"30551643947183","Morgan Smith","191975.36"
"30560609640617","Michael Olson","76370.84"
"30561214688470","Gina Morrison","74141.48"
"30570197515105","Vincent Cain","28805.08"
"30596478689301","Daniel Graham","23933.50"
"36078114201167","Christopher Horn","115676.08"
"36153880429415","Erik Stevens","58942.44"
"36192615525683","Susan Garcia","38924.00"
"36360452125889","Christopher Raymond","28922.98"
"36485887555770","Michael Gross","132242.16"
"36581538659449","Brandon Bridges","24523.70"
"36721445180895","Cesar Smith","77787.12"
"36722699017270","Jessica Perez","204006.80"
"36890292963032","Kimberly Webb","25494.22"
"36913587729122","Ana Mccormick","207836.50"
"38014427445058","Sonya Jensen","25025.86"
"38052002992326","Anna Logan","98905.32"
"38057513087029","Marissa Clark","59081.58"
"38199021865320","Jesse Roberts","160766.78"
"38295635583927","Candice Brown","96850.46"
"38530489946071","Laura Johns","100340.58"
"38544312728630","Veronica Burton","34772.16"
"38580485618059","Teresa Clark","108812.22"
"38588538868506","Jacqueline Curry","96334.40"
"38797410705641","Andrew Tucker","124822.10"
"38859492057661","Edward Sanchez","29147.14"
"38947654498698","Lori Rodriguez","72574.58"
"180011453250192","Craig Dunn","161634.64"
"180014262259255","Brianna Page","55602.64"
"180017442990269","Michelle Anderson","51715.08"
"180018375329178","Michelle Woods","116527.94"
"180031190491743","Becky Mckinney","188338.96"
"180036456789979","Mackenzie Salazar","114194.40"
"180040027502291","Mary Schmidt","29115.46"
"180042946491150","Charles Robles","97774.50"
"180046165512893","Erica Walker","50161.16"
"180046617132290","Erika Mason","61760.32"
"180046765320457","Jared Camacho","73323.08"
"180047222886866","Christine Shaffer","25639.44"
"180048185037117","Mary Wall","217303.42"
"180049032966888","Michael Flores","157931.28"
"180056173248083","Larry Warner","53791.34"
"180058696935600","Richard Barnes","34443.72"
"180064817343047","Patricia Gonzalez","99250.32"
"180065479077096","Krystal Gamble","75209.32"
"180067151859700","Karen Ryan","110624.00"
"180067784565096","Mary Juarez","99463.66"
"180068353086472","Melissa Flores","40343.28"
"180069253480336","William Hunter","68447.14"
"180072527505094","Cody Miller","77617.58"
"180081032825079","Connie Carroll","43326.00"
"180084576295055","David Kirby","81226.18"
"180084695172649","Holly Mann","44104.24"
"180094419304907","Sharon Smith","235888.20"
"180094608895855","Tammie Harper","27915.72"
"213102873001603","Joanne Padilla","75413.56"
"213107169859697","Megan Fernandez","40563.44"
"213112402583773","Ana Howell","137265.98"
"213113028819344","Melanie Jimenez","63581.18"
"213113338379864","Larry Vaughan","27354.72"
"213114122496591","Jeremy Perry","55514.06"
"213120463918358","Willie Jordan","52464.18"
"213124978348176","Steven Arnold","79211.68"
"213125815021702","Adam Kirk","75674.22"
"213126662687660","Christopher Luna","77804.64"
"213136802746375","Christine Davis","32585.96"
"213141712584544","Margaret Curtis","223822.50"
"213148039875802","Jill Jacobs","117505.74"
"213153151785052","Rebecca Conley","58283.62"
"213154573301411","Christopher Sheppard","76467.42"
"213155997615567","James Yoder","81328.20"
"213156747557083","Adam Santos","138019.22"
"213157767990030","Tara Campbell","198593.10"
"213161231269724","Alyssa Morgan","74900.62"
"213161293389774","Catherine Weber","93693.46"
"213161869125933","Monica Lane","76785.06"
"213163860545705","Mark Tyler","80288.30"
"213173753804333","Joseph Wagner","79125.98"
"213174467670432","James Bishop","81059.70"
"213175487106448","Diane Jackson","82052.82"
"213178765398315","Alan Colon","118010.70"
"213178850083780","Shawn King","116734.98"
"213180742685905","Kayla Sutton","100313.14"
"213186334552049","Andrea Perkins","45814.48"
"213186551511454","Cody Dean","26352.62"
"213186880359195","Craig Franco","38264.18"
"213191402330021","Thomas Sullivan","58345.54"
"213193596103206","James Hunt","154415.26"
"213195754007681","Zachary Allen","79794.38"
"213198837352314","John Vega","45640.76"
"213199865312311","Christopher Miller","77616.18"
"340103199302564","Sophia Dickson","53575.62"
"340951438290556","Maria Garcia","123775.80"
"340953839692349","Tyler Wright","113534.28"
"341283058448499","Mario Johns","52196.62"
"341542810616333","Billy Mcdonald","47176.30"
"341546199006537","Mark Brown","84802.28"
"342035762534413","Jennifer Carrillo","31488.18"
"342319985983023","Bryan Pugh","119622.74"
"342351256941125","Rebecca Obrien","112384.00"
"342360239917375","Gabriella Jordan","27731.84"
"342952484382519","Kayla Jones","128009.48"
"343464013864032","Jodi Foster","92073.76"
"343472729187663","Gloria Wallace","52864.46"
"343668971234893","Sally Moore","76494.00"
"343746486082492","Jeffrey Munoz","66700.60"
"343819048608995","Shelby Cannon","49120.28"
"344342339068828","Ruth Fuller","79794.86"
"344709867813900","Joanna Hudson","236399.06"
"345060451158891","Brian Perez","42828.14"
"345389171551808","Justin Fowler","88568.34"
"345832460465610","Jason Mcmahon","93934.60"
"345933964507467","Carol Dillon","132752.54"
"346208242862904","Tabitha Reyes","28701.06"
"346243940647414","Sean Miller","34416.08"
"346273234529002","Donna Moreno","175412.96"
"347073228412010","Ryan Johnson","74815.78"
"347612609554823","Robert James","20006.34"
"348253506557335","Thomas Gibson","33058.88"
"348379466427142","Michael Rowe","53291.46"
"348789608637806","Megan Murphy","87412.16"
"349612764943496","Xavier Beltran","126159.06"
"370348764075623","Christopher Gomez","64965.08"
"370612217861404","Amanda Fitzgerald","117438.52"
"370818583810103","John Davis","51864.20"
"370877495212014","Sarah Clark","194877.32"
"371009169330125","Randall Burgess","58560.00"
"371034293500716","Jeremy Jones","54244.86"
"371226440126102","Stacy Lambert","130101.92"
"371284100299909","Hannah Thomas","52228.08"
"371284424780634","Jeremy Moore","59074.74"
"371683116218417","Debra Becker","28424.52"
"371985236239474","Benjamin Martin","49641.26"
"372246459334925","Rick Martinez","88483.52"
"372382441451095","Brent Terrell","80641.58"
"372509258176510","Kristen Hanson","250803.78"
"372520049757633","Lori Ramirez","203967.40"
"373043435942726","Vincent Richards","73706.94"
"373213026644490","Bobby Smith","30298.32"
"373905417449658","Sarah Bishop","188834.62"
"374125201044065","Christopher Gilbert","75698.00"
"374238209524200","Daniel Martinez","47042.46"
"374497717543058","Linda Hurst","96863.60"
"374656033243756","David Lewis","73922.64"
"374821819075109","Zachary Boone","30920.32"
"374930071163758","Daniel Escobar","149495.10"
"375082648741747","Shannon Bell","102902.76"
"375237305371366","David Erickson","27386.20"
"375248307838179","Joshua Mendoza","106477.76"
"375534208663984","Tyler Garcia","158700.12"
"375767678113375","Christopher Patterson","92882.26"
"375848982312810","Dale Smith","77478.20"
"375904527651269","Ryan Cook","62338.64"
"375974680629816","Roberta Mccarthy","104590.16"
"376012912828093","Nathan Mayer","55905.78"
"376028110684021","Aaron Murray","164890.92"
"376262134119629","Christopher Carr","47992.06"
"376445266762684","Rachel Lowe","140866.46"
"376656886990758","Richard Vance","82399.88"
"376944481517097","Tiffany Stephens","24197.90"
"377026671291680","Jackie Davis","123086.36"
"377113842678100","Billy Gallagher","98003.66"
"377234009633447","Theresa Blackwell","106379.92"
"377264520876399","Kara Miles","30121.48"
"377550167323848","Kevin Walters","78472.84"
"377654590313960","Lawrence Davis","83780.76"
"377834944388609","Michael Jackson","28220.58"
"377895991033232","Kimberly Myers","63670.46"
"377993105397617","Nathan Martinez","86826.94"
"378006354724784","Christopher Matthews","39875.50"
"378278619832195","Mary Mcintyre","84354.58"
"378858024506425","Debra Eaton","49293.46"
"378904938837132","Tina Zimmerman","76972.96"
"379141394109214","Gerald Anthony","33369.88"
"379897244598068","Frank Key","52326.46"
"2222001896600109","Susan Hernandez","80124.82"
"2222157926772399","Amy Garrett","22902.08"
"2224100459250597","Sheri Thomas","28562.26"
"2227671554547514","Angie Jones","34716.70"
"2229378226512508","Thomas Hale","122261.14"
"2229824890647120","Walter Blair","28966.30"
"2231186809828225","Katherine Pennington","32468.54"
"2233882705243596","Jamie Robinson","66541.26"
"2235335206132667","Maria Rosales","24886.50"
"2235613922823698","Melissa Mcclure","102863.28"
"2242542703101233","Samuel Jenkins","197983.86"
"2248348993063230","Jennifer Scott","48982.24"
"2248735346244816","Jacob Weber","100876.76"
"2252055259910912","Jason Hernandez","171272.82"
"2254799658404120","Barbara Nelson","126048.18"
"2254917871818484","Margaret Gibson","115177.06"
"2256234701263057","Christopher Grimes","66883.28"
"2260801330657968","Monique Fox","34693.84"
"2264937662466770","Juan Sherman","89465.80"
"2266735643685262","Carlos Chung","102418.88"
"2268221587779419","Peggy Berry","36731.44"
"2269768987945882","Shannon Patterson","82099.80"
"2274911989136158","Robert Velazquez","29006.62"
"2280870154157385","Katherine Cooper","23424.50"
"2283743876903625","Shannon Williams","112194.42"
"2284059275940012","Thomas Mathis","27084.24"
"2285066385084291","Richard Brown","60250.32"
"2286236465059468","Morgan Murray","78792.88"
"2288748891690227","Kathleen Heath","32363.34"
"2288813824604479","Barbara Norman","102827.32"
"2291163933867244","Jeff Elliott","79223.12"
"2296006538441789","Judy Hogan","84910.60"
"2297447006766555","Laura Walker","101508.04"
"2305336922781618","Jeffrey Rice","77722.80"
"2318062975163331","William Martinez","25652.34"
"2348245054386329","Justin Gay","78546.16"
"2356276337669917","Benjamin Harris","46150.24"
"2358122155477959","Mike Tran","26955.76"
"2383461948823908","Patrick Vaughan","102190.12"
"2450829271795901","Timothy Kirby","52795.00"
"2454076758463217","Robert Andrade","39989.04"
"2475085306462014","John Miller","109396.68"
"2512312531485080","John Mccormick","50762.70"
"2576709887791552","Joseph Morgan","99973.62"
"2610529083834453","Tanya Dickerson","38452.94"
"2657850734909997","Alan Howard","63522.20"
"2703186189652095","Jennifer Banks","159933.62"
"2706977570537524","David Serrano","118160.82"
"2712209726293386","Jenna Brooks","237631.62"
"2713913904780408","Jacqueline Howard","78579.76"
"2714019737356678","Christina Moore","36230.78"
"2719496466799416","Sheila Baker","49109.96"
"2720012583106919","Joseph Murray","157988.72"
"2720433095629877","Mark Wood","118324.58"
"2720830304681674","Melissa Aguilar","74363.68"
"2720894374956739","Audrey Hickman","58619.38"
"3500165543009955","Ricky Dunn","28735.30"
"3500969075198072","Kenneth Sanchez","165011.16"
"3501365119557234","Danielle Allen","35514.84"
"3501509250702469","Frank Anderson","126039.46"
"3501942333500073","Lori Bishop","96796.44"
"3502088871723054","Scott Martin","125672.52"
"3502377050801561","Kathleen Martin","78466.86"
"3504178999463051","Drew Garcia","82470.14"
"3506040590383211","Michael Orozco","80511.08"
"3506042666828517","Christine Burns","73943.08"
"3506592072985012","Randy Murphy","70619.62"
"3508104404056005","Michael Fisher","49746.64"
"3511058278399773","Briana Santos","26680.70"
"3511378610369890","James Cooper","122703.06"
"3512365128314616","Francisco Kemp","97690.26"
"3513285035244624","Ariana Campbell","25677.06"
"3513506355699497","Sarah Adams","48904.04"
"3513618443244549","Amber Perez","103317.50"
"3514865930894695","Christopher Castaneda","104386.86"
"3514897282719543","Steven Faulkner","90270.76"
"3517527805128735","Tracy Conway","66663.12"
"3517814635263522","William Cannon","55177.46"
"3518234918950662","Barbara Lowe","181224.18"
"3518669219150142","Dorothy Thomas","109937.48"
"3518758680062249","Antonio Koch","90047.82"
"3519232971341141","Michael Jones","48283.94"
"3519607465576254","Audrey Gonzalez","70896.62"
"3520550088202337","Micheal Walters","67503.26"
"3521417320836166","Angela Hodges","229263.26"
"3521815216091574","Wayne Marsh","133360.70"
"3523843138706408","Grace Williams","97151.38"
"3523898249167098","Joshua Carpenter","99568.30"
"3524574586339330","Ashley Cabrera","106816.44"
"3525590521269779","Scott Fuller","128160.32"
"3525668150756629","Christopher Choi","79876.88"
"3526826139003047","Nathan Massey","98499.16"
"3527063666782582","Amanda Alexander","32616.78"
"3527536963490470","Teresa Stein","143660.88"
"3528231451607350","Lauren Moreno","54778.26"
"3528407217576457","Patricia Leach","71478.20"
"3529597810116815","Pamela Curtis","75210.00"
"3529597930342630","Melissa Rodriguez","45802.16"
"3530503964418806","David Nichols","25813.10"
"3531129874770000","Shelby Mitchell","187360.90"
"3531606252458308","Juan Taylor","29460.92"
"3533012926413100","Megan Bernard","86954.16"
"3533177016567295","Derek Bentley","52758.06"
"3533742182628021","Robert Haynes","106468.84"
"3533800906065217","Amber Thornton","79698.94"
"3534093764340240","Jeremy White","47256.00"
"3534330126107879","Jeffrey Smith","166175.02"
"3534718226968689","Lisa Lopez","43993.48"
"3535808924394848","Matthew Myers","129528.82"
"3536818734263520","Gerald Frank","27380.78"
"3536918668124647","Michelle Juarez","29518.00"
"3537797820923602","Christie Mendoza","24304.36"
"3538520143479972","Cassandra Nunez","88151.56"
"3540017235499519","Lawrence Frost","42056.92"
"3540075240003197","Christian Johns","104358.70"
"3540210836308425","Steven Yoder","125874.96"
"3540862542587229","Nancy Roach","32147.78"
"3541160328600277","Jason Singh","183561.68"
"3541554378551366","Brianna Wilson","28131.64"
"3541687240161491","Mark Nguyen","25625.36"
"3542162746848552","Bradley Anderson","21203.64"
"3543299015720986","Angela White","80693.46"
"3543591270174051","Margaret Lam","107267.84"
"3544606805704278","Carolyn Thomas","21615.38"
"3545109339866548","Keith Sanders","141122.78"
"3546674063249004","Jordan May","50054.28"
"3546897637165774","Kayla Obrien","107026.00"
"3547560454237873","Jerry Robinson","75706.40"
"3547574373318979","Jacob Patel","79812.32"
"3549202406645667","Larry Williams","77727.38"
"3550554389581384","Ryan Foster","36483.18"
"3551217896304745","Sara Harris","233599.26"
"3551512895305309","Erika Anderson","25264.38"
"3552581383553463","Jonathan Castro","82423.86"
"3553629419254918","Sharon Johnson","125722.02"
"3554818239968984","Cory Thomas","39241.04"
"3554849923339851","John Hudson","69723.68"
"3556613125071656","Jose Vasquez","102830.84"
"3557442674264531","Angela Edwards","36363.34"
"3558652751678952","Teresa Blankenship","86621.86"
"3558881852140592","Christopher Holt","55684.12"
"3559160581764413","Allen Bell","161785.10"
"3559679414981506","Olivia Stephenson","134379.06"
"3559723917628303","Matthew Huerta","77527.56"
"3560246577314524","Sarah Scott","25454.68"
"3560318482131952","William Skinner","101797.44"
"3560336828629935","Christopher White","21618.16"
"3560697798177746","Matthew Young","81018.06"
"3560725013359375","Brooke Smith","101089.14"
"3560797065840735","Janet Turner","132635.04"
"3561212938177173","Jose Campbell","30003.46"
"3561963695236764","Michael Lee","117420.46"
"3562264947797243","Anthony Velasquez","22282.68"
"3562679455732797","Amanda Jones","70746.10"
"3563837241599446","Timothy Simmons","47413.72"
"3564182536169293","Brenda Johnson","56792.72"
"3564839259330465","Robert Ashley","119287.64"
"3565196229855512","Adriana Harvey","50122.60"
"3565414434959494","Ryan Arnold","25405.44"
"3565423334076143","Nathan Thomas","68276.46"
"3565943051129759","David Thomas","33201.70"
"3565996340207976","Warren Daniels","22659.38"
"3566094707272327","Kristina Stewart","278402.16"
"3566373869538620","Steven Castaneda","22731.36"
"3566875419572867","Adam Mcdonald","80141.36"
"3567527758368741","Amanda Vance","54503.74"
"3567697931646329","John Stevens","113315.14"
"3567879740649740","Tanya Williams","113188.68"
"3568255211412877","Timothy Gomez","116984.54"
"3568736585751727","Thomas Cross","135661.66"
"3572976568630035","William Lopez","22475.54"
"3573030041201292","Joanne Williams","89720.58"
"3573386445588324","Stephanie Murphy","47822.52"
"3575540972310993","Rachel Villarreal","68547.24"
"3575789281659026","Lindsay Wilson","143226.06"
"3576021480694169","Dawn Gray","113796.82"
"3576144910346950","Thomas Payne","24059.16"
"3576281490078437","Chris Dixon","40844.70"
"3576431665303017","Jessica Ward","229196.74"
"3576511691045060","Leah Garner","22040.86"
"3577578023716568","Debbie Hughes","156434.30"
"3577596616955856","David Rogers","29022.96"
"3577663406369449","Cody Hooper","26573.16"
"3577794103155425","Mary Humphrey","52244.26"
"3579200383632826","Tyler Small","37068.88"
"3581130339108561","Gregory Wood","22659.86"
"3582402971899057","Michele Patrick","34674.02"
"3582754887089201","Terrance Mckinney","128655.22"
"3583093681934489","Hannah Knight","29052.48"
"3583293909206278","Deborah Fisher","56793.46"
"3583635130604947","Crystal Gamble","226676.44"
"3583793405872580","Beth Lambert","105760.34"
"3585052663373890","Jeffery Brown","54807.96"
"3585740823295298","James Greene","55023.16"
"3586008444788268","Crystal Fuller","178499.62"
"3586955669388457","Benjamin Rogers","76994.90"
"3587044315915002","Christian Roman","118625.04"
"3587960728692500","Kathy Hughes","138035.56"
"3589255887819806","David Miller","133067.04"
"3589289942931264","Paula Estrada","133196.98"
"3590736522064285","Kimberly Gonzalez","242809.64"
"3591919803438423","Brian Williams","65829.66"
"3592325941359225","Ashley Robinson","32538.16"
"3592931352252641","Dylan Garcia","54408.26"
"3593118134380341","Laura Casey","105844.34"
"3593399694467427","Douglas Smith","25891.94"
"3595111028444131","Jeffery Sanders","29764.30"
"3595192916105588","Dustin Roberts","143673.08"
"3596217206093829","Sara Ramirez","138746.58"
"3596357274378601","David Everett","120316.58"
"3597337756918966","Linda Gonzalez","49181.12"
"3597926034019603","Derrick Flores","47172.60"
"3597980945245815","Mark Allen","25312.88"
"3598014571045296","Lisa Clark","89417.52"
"3598215285024754","Ashley Lopez","178233.48"
"3598304579370089","Vincent Flowers","119096.68"
"3598634130286287","David Hughes","21351.62"
"3598895972308782","Kenneth Richards","54041.04"
"3599237318576484","Jessica Smith","55466.60"
"4003771737807706","Danielle Hayden","60708.38"
"4003989662068504","Chris White","110420.04"
"4005676619255478","William Perry","117590.46"
"4010002218955876","Jennifer Bishop","103758.36"
"4025612008285111","Krystal Key","93373.40"
"4048508450704760","Cheryl Melton","84058.80"
"4060579726528237","Steven Sanders","88349.66"
"4067137330196900","Christina Eaton","85632.74"
"4069975342931683","Kimberly Martin","153113.50"
"4070511711385545","Stephanie Hopkins","51621.50"
"4099707841315751","James Stephens","118566.44"
"4104312520615374","Brooke Rodriguez","57359.26"
"4116554952971686","Bridget Bowen","26245.22"
"4119762878330989","Melinda Gutierrez","95358.68"
"4124536010991657","Sydney Montoya","31075.88"
"4128027264554082","Kyle Park","75629.28"
"4129767952109660","Cheryl Ballard","60922.54"
"4134456652433447","Lawrence Ellis","27531.76"
"4147608975828480","Edward Tapia","110600.10"
"4149238353975790","Tanner Carroll","163185.30"
"4155021259183870","Renee Parrish","114191.24"
"4158758517677931","Dawn Cox","20960.74"
"4158945090781624","Justin Bell","81839.40"
"4169759661243568","Jamie Carr","86762.24"
"4170689372027579","Samuel Frey","123599.56"
"4171397999167005","Ashley Mcdonald","27669.58"
"4173950183554608","Stephen Marshall","115059.92"
"4178097073221156","Jill Flores","124691.54"
"4179719215697782","Belinda Jimenez","27457.54"
"4191109180926792","Jennifer Spencer","109785.30"
"4195832462863385","Victoria Mcbride","22974.56"
"4228411452607671","Aaron Stewart","27473.18"
"4229733778084049","Tyler Mills","61029.84"
"4239552724014407","Carl Hernandez","79161.90"
"4254074738931278","Gary Hall","50330.98"
"4260059589824237","Aaron Rogers","37717.46"
"4265776278887457","Christine Best","107514.66"
"4266200684857219","Joshua Bryant","59229.96"
"4277232699798846","Jennifer Vance","87370.08"
"4294040533480516","Gail Weaver","66234.24"
"4302475216404898","Daniel Cain","84914.80"
"4302480582202074","David Rodriguez","125419.30"
"4306586894261180","Renee Walls","56410.74"
"4308156300921054","William Marshall","42674.50"
"4328928491302401","Margaret Ray","107368.22"
"4334230547694630","Scott Martin","119971.18"
"4335531783520911","Amy Daugherty","28827.42"
"4342532437704183","Kevin Elliott","83995.20"
"4344955088481397","Christopher Rodgers","122346.20"
"4348786085525522","John Nichols","41252.06"
"4364010865167176","Gary Martinez","135850.90"
"4365382885912355","Robert Goodman","77368.36"
"4377338765909719","Nicholas Mcmahon","90430.44"
"4378993458389626","Travis Hayes","106812.78"
"4384910379661778","Michelle Russell","84245.12"
"4412720572684931","Richard Marshall","28704.00"
"4423489490781412","Christopher Ortega","75837.14"
